KO	EN	Def_KO	DNT	Case-sensitive	Category	Product	Note
워터마크	watermark			Term	FSP	
인쇄 정책	print policy			Term	FSP	
관리 대장	justification			Term	FSP	
기본 정책	default policy			Term	FSP	
검출	detection			Term	FSP	
