KO	EN	Def_KO	DNT	Case-sensitive	Category	Product	Note
Wrapsody 문서	Wrapsody file			Term	Wrapsody	
열람 권한	View permission		DNT	Case-sensitive	Term	Wrapsody	
리비전 권한	Revise permission		DNT	Case-sensitive	Term	Wrapsody	
