KO	EN
확인을 클릭합니다.	Click OK.
삭제를 클릭합니다.	Click Delete.
검색 필드와 필터를 이용해 원하는 항목만 추려볼 수 있습니다.	Use the search field and filters to narrow down the list.
참고: 이 옵션은 도입 환경에 따라 달라질 수 있습니다.	Note: This option may vary depending on your environment.
