KO	EN
~을 클릭합니다.	Click ~.
~을 선택합니다.	Select ~.
~을 설정합니다.	Set ~.
~을 사용할 수 있습니다.	You can use ~.
~에 따라 달라질 수 있습니다.	may vary depending on ~
